tonality,vector_means
9.0,-1091.7508544921875
4.0,-568.9454956054688
10.0,-9.262423515319824
8.0,-3151.419921875
10.0,-839.5670776367188
10.0,-113.19143676757812
10.0,-1439.0517578125
5.0,-100.9814682006836
6.0,-56.816097259521484
10.0,-392.1138916015625
9.0,-422.2756652832031
9.0,-709.0056762695312
9.0,-531.9539794921875
9.0,-406.85382080078125
8.0,-559.266845703125
10.0,-635.4615478515625
9.0,-892.1675415039062
8.0,-1517.8153076171875
10.0,-23.017738342285156
10.0,-70.46337890625
8.0,-212.20042419433594
6.0,-286.3252868652344
9.0,-63.069915771484375
9.0,-1375.422607421875
10.0,-22.36421012878418
9.0,-154.19598388671875
3.0,-1856.661376953125
10.0,-530.8660278320312
10.0,-73.4028549194336
10.0,-2055.538818359375
7.0,-1431.991943359375
9.0,-1268.21630859375
9.0,-205.2908172607422
9.0,-750.8091430664062
7.0,-101.46148681640625
10.0,-166.3408660888672
1.0,-769.7354125976562
1.0,-442.839111328125
1.0,-249.86727905273438
10.0,-390.92431640625
1.0,-41.77021026611328
10.0,-295.8313903808594
10.0,-18.50617027282715
10.0,-167.80862426757812
10.0,-341.4601745605469
10.0,-141.3711700439453
9.0,-470.0032653808594
9.0,-432.703125
8.0,-601.4514770507812
10.0,-260.57635498046875
10.0,-305.47430419921875
10.0,-222.27806091308594
10.0,-114.62062072753906
10.0,-637.1046752929688
8.0,-504.48187255859375
9.0,-789.6420288085938
8.0,-1583.2994384765625
10.0,-112.4849624633789
3.0,-438.0918884277344
9.0,-303.2635803222656
10.0,-235.55992126464844
10.0,-537.6851806640625
2.0,-412.7034606933594
8.0,-213.80093383789062
9.0,-63.710777282714844
10.0,-73.71975708007812
10.0,-1185.8028564453125
9.0,-289.93426513671875
10.0,-276.4072570800781
1.0,-286.5825500488281
10.0,-134.9193878173828
5.0,-231.13233947753906
10.0,-1094.1513671875
4.0,-283.6366882324219
9.0,-62.41257095336914
10.0,-802.4575805664062
9.0,-779.2880249023438
10.0,-654.5831298828125
8.0,-296.63165283203125
10.0,-359.1584167480469
9.0,-219.94419860839844
10.0,-239.1096649169922
10.0,-214.8603515625
10.0,-78.5389404296875
9.0,-244.83352661132812
10.0,-172.42662048339844
9.0,-107.32764434814453
10.0,-394.0855712890625
10.0,-64.87727355957031
5.0,-277.0712585449219
8.0,-814.44873046875
9.0,-119.82144927978516
9.0,-274.1063537597656
9.0,-63.415470123291016
7.0,-186.69895935058594
1.0,-462.9104309082031
10.0,-238.1091766357422
9.0,-218.6223602294922
9.0,-96.70278930664062
9.0,-201.70237731933594
8.0,-46.4687614440918
10.0,-53.662940979003906
10.0,-247.44969177246094
9.0,-78.14569854736328
10.0,-65.95286560058594
10.0,-215.7052001953125
10.0,-107.7301025390625
10.0,-117.20872497558594
10.0,-727.260009765625
10.0,-340.7391662597656
10.0,-94.96773529052734
10.0,-469.6959228515625
10.0,-145.8648681640625
10.0,-162.68435668945312
9.0,-145.70651245117188
1.0,-20.694124221801758
6.0,-249.48275756835938
8.0,-13.6906099319458
9.0,-70.05291748046875
10.0,-190.423828125
5.0,-131.65255737304688
9.0,-350.1213684082031
5.0,-194.85964965820312
3.0,-153.0120086669922
7.0,-777.88134765625
8.0,-87.9700698852539
10.0,-179.5951690673828
10.0,-10.179713249206543
10.0,-439.6223449707031
10.0,-352.18804931640625
9.0,-354.9525451660156
8.0,-565.7889404296875
8.0,-764.281494140625
10.0,-41.430397033691406
9.0,-283.4262390136719
9.0,-188.9341278076172
8.0,-96.25041961669922
7.0,-245.30691528320312
9.0,-91.2576904296875
9.0,-217.19503784179688
10.0,-67.73302459716797
2.0,-69.138427734375
9.0,-183.38661193847656
9.0,-35.098087310791016
10.0,-40.344154357910156
10.0,-133.12765502929688
9.0,-174.94229125976562
9.0,-36.81068801879883
10.0,-16.563684463500977
1.0,-69.99502563476562
10.0,-199.94586181640625
7.0,-285.92449951171875
10.0,-456.1888122558594
9.0,-355.5545654296875
9.0,-897.387451171875
9.0,-942.3035278320312
9.0,-1190.7850341796875
9.0,-647.0286865234375
9.0,-905.8292236328125
9.0,-745.5005493164062
10.0,-66.13328552246094
9.0,-1099.4027099609375
9.0,-181.15606689453125
10.0,-31.37410545349121
9.0,-734.705322265625
9.0,-621.133056640625
7.0,-271.6351013183594
10.0,-102.41416931152344
10.0,-38.26459503173828
5.0,-129.6153106689453
9.0,-638.708740234375
9.0,-288.3109130859375
7.0,-79.44924926757812
9.0,-538.8861083984375
10.0,-774.5626831054688
10.0,-498.32177734375
10.0,-731.4071044921875
9.0,-441.3016662597656
9.0,-684.0833740234375
9.0,-78.60155487060547
10.0,-67.61870574951172
9.0,-21.4578800201416
9.0,-89.58325958251953
10.0,-57.98267364501953
9.0,-120.6271743774414
9.0,-60.26968765258789
9.0,-191.66197204589844
9.0,-26.469459533691406
4.0,-42.62674331665039
5.0,-133.2482147216797
10.0,-141.04554748535156
9.0,-54.25969696044922
8.0,-233.9265899658203
9.0,-4971.365234375
1.0,-150.3009796142578
6.0,-4368.5322265625
7.0,-4485.7548828125
7.0,-156.0644073486328
8.0,-4250.3505859375
7.0,-4789.2314453125
8.0,-2996.9169921875
7.0,-1290.7349853515625
8.0,-4693.30810546875
8.0,-90.52143859863281
9.0,-419.7080078125
10.0,-437.6784362792969
10.0,-77.75753784179688
4.0,-234.3276824951172
8.0,-95.19046783447266
10.0,-2283.705810546875
8.0,-3223.3642578125
6.0,-170.88587951660156
9.0,-48.376502990722656
4.0,-65.40071868896484
8.0,-130.76385498046875
8.0,-219.60145568847656
10.0,-103.592529296875
10.0,-35.91221618652344
10.0,-429.61114501953125
10.0,-157.10037231445312
10.0,-99.18693542480469
10.0,-136.4672088623047
10.0,-248.81642150878906
10.0,-475.3089599609375
9.0,-250.83299255371094
10.0,-240.40626525878906
4.0,-594.5300903320312
10.0,-123.56722259521484
10.0,-57.302921295166016
9.0,-16.14299964904785
9.0,-84.29558563232422
10.0,-124.01570892333984
10.0,-147.32870483398438
10.0,-588.0623168945312
10.0,-659.539306640625
5.0,-705.0032348632812
10.0,-507.0789794921875
10.0,-454.40570068359375
8.0,-96.0533447265625
2.0,-9.97419261932373
8.0,-947.5452880859375
7.0,-100.45503234863281
9.0,-255.66883850097656
10.0,-66.5526123046875
5.0,-446.8913269042969
9.0,-700.7062377929688
10.0,-1102.9180908203125
5.0,-840.8162231445312
1.0,-1195.131103515625
10.0,-72.88740539550781
9.0,-955.4874877929688
9.0,-617.1764526367188
9.0,-154.8606414794922
8.0,-566.4656982421875
9.0,-4836.546875
10.0,-4531.5458984375
10.0,-4778.93603515625
8.0,-3472.131103515625
6.0,-607.0933227539062
8.0,-3720.500732421875
8.0,-103.78495788574219
10.0,-60.79995346069336
10.0,-2699.87646484375
10.0,-1054.1397705078125
10.0,-285.81268310546875
9.0,-200.1159210205078
10.0,-827.1571044921875
8.0,-62.808250427246094
10.0,-197.16949462890625
8.0,-257.2669677734375
9.0,-31.00269889831543
10.0,-197.48822021484375
8.0,-2807.25146484375
10.0,-515.7794799804688
8.0,-491.2969665527344
9.0,-677.615234375
4.0,-150.21743774414062
9.0,-79.11722564697266
9.0,-92.54843139648438
10.0,-263.3420715332031
10.0,-66.12287139892578
10.0,-131.5731201171875
10.0,-225.5196990966797
10.0,-31.62192153930664
7.0,-197.0290069580078
10.0,-70.85961151123047
10.0,-620.4263916015625
10.0,-137.642822265625
10.0,-85.45018768310547
9.0,-504.6739807128906
10.0,-296.09698486328125
10.0,-198.4803924560547
10.0,-42.5838508605957
8.0,-266.0294189453125
10.0,-74.02751922607422
9.0,-55.256195068359375
9.0,-139.91397094726562
10.0,-271.16162109375
10.0,-333.1309814453125
3.0,-367.183349609375
4.0,-371.5758972167969
10.0,-457.2428894042969
10.0,-235.42532348632812
9.0,-267.08782958984375
9.0,-270.1067199707031
10.0,-298.55291748046875
8.0,-180.48880004882812
8.0,-244.4497528076172
9.0,-224.04197692871094
9.0,-243.5730743408203
8.0,-487.3170471191406
9.0,-680.4991455078125
9.0,-337.0024108886719
7.0,-478.8727722167969
10.0,-345.72808837890625
7.0,-150.5759735107422
9.0,-742.5454711914062
4.0,-93.6683349609375
10.0,-17.169679641723633
9.0,-261.81304931640625
9.0,-622.59033203125
9.0,-155.9579620361328
9.0,-68.35152435302734
7.0,-354.7823791503906
10.0,-303.55657958984375
8.0,-253.55992126464844
9.0,-422.1758728027344
9.0,-150.99359130859375
5.0,-210.5411376953125
8.0,-111.86502838134766
4.0,-151.1279296875
10.0,-193.19952392578125
10.0,-328.0704040527344
2.0,-231.15206909179688
9.0,-260.5677490234375
9.0,-440.3766784667969
10.0,-152.61888122558594
10.0,-324.90631103515625
10.0,-178.86680603027344
10.0,-170.84637451171875
10.0,-201.92002868652344
10.0,-180.86306762695312
10.0,-51.318424224853516
10.0,-231.23585510253906
9.0,-117.97325134277344
10.0,-90.25633239746094
7.0,-95.62049102783203
9.0,-170.3066864013672
10.0,-349.192138671875
10.0,-292.8193664550781
8.0,-225.5486297607422
8.0,-276.0205078125
9.0,-41.08786392211914
10.0,-489.5736999511719
10.0,-213.36891174316406
8.0,-218.44009399414062
7.0,-82.66643524169922
9.0,-258.89312744140625
9.0,-1765.3345947265625
8.0,-257.31134033203125
4.0,-208.57029724121094
10.0,-490.05078125
10.0,-77.13018035888672
5.0,-78.42109680175781
5.0,-161.23146057128906
10.0,-336.1536865234375
9.0,-149.4877166748047
9.0,-291.2550354003906
10.0,-368.8761291503906
10.0,-192.54534912109375
8.0,-343.49859619140625
8.0,-586.4183349609375
10.0,-95.45760345458984
9.0,-232.5801544189453
2.0,-58.26097869873047
9.0,-4638.53369140625
9.0,-839.4577026367188
8.0,-2064.692626953125
7.0,-1022.4917602539062
6.0,-633.62646484375
9.0,-369.750732421875
10.0,-449.30279541015625
10.0,-446.95587158203125
10.0,-95.46363067626953
9.0,-26.321096420288086
10.0,-399.975341796875
10.0,-22.76608657836914
10.0,-152.39306640625
10.0,-313.443603515625
8.0,-187.2490692138672
9.0,-201.89453125
10.0,-25.13433837890625
8.0,-41.01213073730469
9.0,-69.9948959350586
9.0,-298.4892272949219
9.0,-213.4514617919922
9.0,-451.98956298828125
9.0,-54.23978805541992
10.0,-409.1002197265625
9.0,-131.1977996826172
9.0,-310.3070068359375
7.0,-523.174560546875
9.0,-74.5639877319336
8.0,-188.4992218017578
10.0,-1139.441650390625
10.0,-171.60707092285156
9.0,-49.52653884887695
10.0,-39.6353874206543
10.0,-412.5606689453125
9.0,-212.0148162841797
10.0,-138.150390625
9.0,-452.2167663574219
9.0,-590.9949340820312
3.0,-921.0198974609375
10.0,-676.8369750976562
10.0,-154.63131713867188
8.0,-152.8909912109375
9.0,-108.59078216552734
8.0,-56.24022674560547
10.0,-192.72219848632812
7.0,-15.601178169250488
9.0,-62.100372314453125
9.0,-47.848602294921875
8.0,-189.03179931640625
10.0,-351.4122619628906
10.0,-28.570106506347656
10.0,-27.994285583496094
9.0,-89.36023712158203
9.0,-102.22261047363281
6.0,-222.22665405273438
8.0,-150.51788330078125
8.0,-510.3918151855469
6.0,-161.999267578125
10.0,-113.82691192626953
9.0,-225.0968017578125
10.0,-158.97056579589844
7.0,-257.8060302734375
10.0,-23.100643157958984
9.0,-251.622314453125
9.0,-32.3450813293457
6.0,-767.2222900390625
4.0,-910.1315307617188
9.0,-671.4495849609375
10.0,-443.6962585449219
10.0,-472.8022766113281
10.0,-466.044677734375
9.0,-313.7840576171875
9.0,-217.7885284423828
6.0,-1038.0919189453125
9.0,-426.59716796875
4.0,-205.81759643554688
8.0,-206.8150634765625
7.0,-42.20466995239258
9.0,-223.2248077392578
5.0,-1458.2325439453125
8.0,-61.78960037231445
10.0,-87.04452514648438
8.0,-132.3389892578125
5.0,-312.04022216796875
7.0,-247.18161010742188
10.0,-342.9529724121094
9.0,-754.1781616210938
9.0,-794.4481811523438
4.0,-524.6824951171875
8.0,-373.8951110839844
9.0,-317.04705810546875
8.0,-116.93428802490234
8.0,-316.6449890136719
9.0,-203.5477752685547
10.0,-89.32042694091797
10.0,-389.6141357421875
10.0,-708.568115234375
10.0,-133.13058471679688
9.0,-214.70094299316406
9.0,-108.18736267089844
10.0,-297.8562316894531
3.0,-203.97946166992188
10.0,-449.4053955078125
10.0,-89.75138092041016
8.0,-322.1623229980469
9.0,-126.0201187133789
8.0,-522.6550903320312
9.0,-73.78462982177734
9.0,-155.38265991210938
9.0,-211.91514587402344
8.0,-36.06941604614258
9.0,-69.10049438476562
10.0,-132.54371643066406
10.0,-2200.792724609375
8.0,-716.1756591796875
8.0,-337.27020263671875
8.0,-286.9459533691406
8.0,-199.18399047851562
10.0,-1876.3167724609375
7.0,-219.43077087402344
8.0,-309.0385437011719
4.0,-123.64334869384766
8.0,-298.9329528808594
10.0,-1255.8465576171875
3.0,-99.4533920288086
7.0,-875.6423950195312
7.0,-1024.26171875
10.0,-585.7338256835938
9.0,-1040.066162109375
9.0,-884.57275390625
6.0,-1071.8330078125
8.0,-302.74652099609375
9.0,-705.902099609375
8.0,-527.674560546875
